Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,Close,High,Low,Open,Volume
02-01-2020,68.10837555,68.10837555,67.00415769,67.09970157,27278000
03-01-2020,67.7520752,68.36066912,67.04545445,67.07929686,23408000
06-01-2020,69.55794525,69.58332136,67.2285821,67.25992638,46768000
07-01-2020,69.42359161,69.84109781,69.24693832,69.68982062,34330000
08-01-2020,69.91772461,70.25660431,69.30017842,69.40915448,35314000
09-01-2020,70.65172577,71.09410696,70.17500102,70.75821131,33200000
10-01-2020,71.10803223,71.4056131,70.64226436,71.13341593,26258000
13-01-2020,71.65890503,71.73105459,70.92939109,71.42103623,30730000
14-01-2020,71.18915558,71.78828857,71.04882004,71.65741402,26076000
15-01-2020,71.61760712,71.6962336,71.24240201,71.31007925,21550000
16-01-2020,72.16300201,72.18987397,71.65741592,71.92861842,26080000
17-01-2020,73.62400818,73.67526155,72.48097439,72.77904883,52424000
21-01-2020,73.75985718,74.13954215,73.16071666,73.59812432,48930000
22-01-2020,73.84046173,74.67198878,73.78025611,74.13207441,28458000
23-01-2020,73.88127136,74.31968131,73.6638128,74.02359628,26650000
24-01-2020,72.95968628,74.35451458,72.81089204,74.28584265,29786000
27-01-2020,71.2458725,71.48721892,70.63727861,71.2364191,34132000
28-01-2020,72.17991638,72.39388973,71.17770408,71.74399693,29724000
29-01-2020,72.48844147,72.85867309,71.92563382,72.5760202,21566000
30-01-2020,72.36651611,72.41627364,71.40859443,71.56285568,27110000
31-01-2020,71.29812622,73.13384739,71.01348397,73.04377813,43822000
03-02-2020,73.77728271,73.96140764,72.48396629,72.73476617,71636000
04-02-2020,71.92662811,73.01790743,70.76319164,72.37847029,95880000
05-02-2020,71.95846558,72.88055549,71.14386347,72.83228621,36376000
06-02-2020,73.44735718,73.72553014,72.17892342,72.25356352,37822000
07-02-2020,73.60360718,73.90914564,72.92186893,73.02039691,28360000
10-02-2020,75.07408142,75.08503066,73.40904517,73.51006368,38302000
11-02-2020,75.14374542,76.13003504,74.9143429,75.30348132,34852000
12-02-2020,75.57020569,75.65330449,75.07457418,75.43236069,31042000
13-02-2020,75.30944824,75.93445842,74.84217695,75.14075252,22914000
14-02-2020,75.57517242,75.64086026,74.91930395,75.36617258,23198000
18-02-2020,75.61051178,76.16386599,75.1910162,75.35672785,25642000
19-02-2020,75.88071442,76.17282067,75.68714372,75.99666093,22746000
20-02-2020,75.48859406,75.99019373,74.85511756,75.58911141,25962000
21-02-2020,73.82006073,75.18802455,73.57274614,74.87103574,42520000
24-02-2020,70.65519714,71.47727088,70.00481082,70.81393833,49560000
25-02-2020,68.98617554,71.50065059,68.69258106,71.20954665,51580000
26-02-2020,69.19268799,70.34717206,68.50000058,69.41711701,49776000
27-02-2020,65.43466187,68.14421148,65.3993312,67.63365192,62290000
28-02-2020,66.64388275,66.8031175,63.10878182,63.41233088,80198000
02-03-2020,68.98617554,69.04339708,65.94471715,67.24798779,55430000
03-03-2020,66.56774902,70.07448228,66.14576289,69.55148523,56602000
04-03-2020,68.75131226,68.81002964,66.53191948,67.62469466,47598000
05-03-2020,65.42520905,67.35946593,64.77233214,66.95738129,54380000
06-03-2020,64.47872925,64.82755589,62.56139382,63.19536384,64640000
09-03-2020,60.50025177,62.33846347,59.61697393,59.96132825,69252000
10-03-2020,63.4551239,63.48896252,60.43655456,62.42107,54872000
11-03-2020,60.25691223,62.54746342,59.27361438,62.11652507,54732000
12-03-2020,55.31304932,59.15468319,55.15978275,55.86391676,94326000
13-03-2020,60.42461395,60.43108327,55.34987319,58.46995836,79400000
16-03-2020,53.39472198,57.00097753,53.100129,54.22126802,96520000
17-03-2020,55.63700104,56.03211139,52.20540933,54.27252617,83194000
18-03-2020,54.29989624,54.98661171,51.60328544,52.74483094,93044000
19-03-2020,55.31902313,57.356284,52.52637485,54.1521015,74064000
20-03-2020,53.15635681,56.65313876,52.85231044,56.27594055,82878000
23-03-2020,52.45571136,53.0916708,50.20347875,52.56717796,83672000
24-03-2020,56.23165894,56.39686944,54.06302621,54.93635331,72468000
25-03-2020,54.81891632,57.0358146,53.89284377,55.96145275,90324000
26-03-2020,57.86932755,58.29529242,54.34169466,55.47079504,76562000
27-03-2020,55.24885941,57.27865627,54.93734899,56.10526532,62794000
30-03-2020,57.04278183,57.27616692,54.66315975,56.36253564,58736000
31-03-2020,57.82106018,58.39083444,56.56556135,57.16320605,65228000
01-04-2020,54.84279633,56.20229768,54.41434472,55.93258726,51970000
02-04-2020,55.58574677,55.87137991,54.39643316,54.73829695,56410000
03-04-2020,54.37503433,55.67332784,53.49822958,55.47029994,51374000
06-04-2020,58.8780098,59.25420957,55.98235354,56.38045179,63320000
07-04-2020,58.84665298,60.74856308,58.58241718,60.56095676,61620000
08-04-2020,60.06283951,60.45596046,58.91582321,59.86876767,40334000
09-04-2020,60.04144669,60.80877806,59.33731262,60.61918613,54028000
13-04-2020,60.23252869,60.43705242,58.83520993,59.78914906,38702000
14-04-2020,62.96049118,63.48398555,61.13471692,61.70350029,63358000
15-04-2020,62.56587219,63.45213406,61.40641468,62.0289381,42236000
16-04-2020,62.5723381,63.36504929,61.61541492,63.05552829,57896000
17-04-2020,63.64571381,64.19309604,62.99880512,63.78006978,51050000
20-04-2020,62.75746155,63.5372342,62.52308176,63.19238251,35292000
21-04-2020,60.31961823,62.20261406,59.96331995,61.83985026,49648000
22-04-2020,62.62111664,63.68950655,61.56566156,61.76023077,46296000
23-04-2020,63.256073,64.10103609,62.72660668,62.98586522,34202000
24-04-2020,63.52628326,63.58151921,61.90403813,62.45142034,37402000
27-04-2020,63.24064636,64.39711984,62.95202534,64.29261611,44186000
28-04-2020,61.33625793,63.93234389,61.22628338,63.8547197,80700000
29-04-2020,66.78968048,67.68390375,66.02085713,66.93000842,108358000
30-04-2020,67.01460266,67.17881846,65.76059592,66.25125394,55842000
01-05-2020,65.55259705,67.24998737,65.17142379,65.88948738,48872000
04-05-2020,65.83026886,65.90840178,64.4921685,65.09528786,30806000
05-05-2020,67.13005829,68.22432932,66.43389314,66.55680253,39666000
06-05-2020,66.95140839,68.1088766,66.93648037,67.57691974,31732000
07-05-2020,68.13822937,68.47263674,67.30521401,67.74162698,30652000
08-05-2020,68.88764954,69.49972107,68.27408216,68.76224963,33326000
11-05-2020,69.8455658,70.43972525,68.44775348,68.51194548,32718000
12-05-2020,68.43183136,70.38001378,68.39849009,70.07597118,33918000
13-05-2020,67.09571838,68.93692188,66.08455382,68.48059979,40368000
14-05-2020,67.52019501,67.54557112,65.85017779,66.35874795,36660000
15-05-2020,68.32633972,68.40197452,66.63143991,67.09224193,41544000
18-05-2020,68.92945862,69.3066531,67.38782539,67.75507292,47094000
19-05-2020,68.39302063,69.29321214,68.3611752,68.94438546,31586000
20-05-2020,70.1227417,70.26556016,69.04091595,69.12749997,38262000
21-05-2020,70.00281525,70.48600163,69.38775204,70.21380448,30894000
22-05-2020,70.32577515,70.51287653,69.46538671,69.86099439,28544000
26-05-2020,70.73033905,71.91169514,70.63231223,71.75494335,44590000
27-05-2020,70.67609406,70.92838971,69.39820711,70.66216073,31684000
28-05-2020,70.57458496,71.87934391,69.62114319,69.66692194,35170000
29-05-2020,71.33496094,71.49469684,70.46213488,70.68357226,37044000
01-06-2020,71.4021225,71.7360287,70.77561651,70.94580807,25162000
02-06-2020,71.77236176,71.80669772,70.74228284,71.40859948,23442000
03-06-2020,71.62008667,72.10576362,71.2404017,71.79176648,27732000
04-06-2020,70.37852478,71.72310207,69.96599964,71.49717718,26982000
05-06-2020,71.65840149,71.97091038,70.0461071,70.44520002,42642000
08-06-2020,72.05749512,72.10526326,70.88509891,70.97467462,33878000
09-06-2020,72.25853729,73.0408005,71.77484968,71.91816931,33624000
10-06-2020,72.88654327,73.2881192,72.3720049,72.72780206,31762000
11-06-2020,69.76148224,72.23465897,69.58781301,71.70867022,47144000
12-06-2020,70.3098526,71.38421437,68.96030199,70.95376958,36676000
15-06-2020,70.6989975,70.91098146,69.02997498,69.14393211,30468000
16-06-2020,71.97937775,72.5118282,71.1095358,72.10527123,30648000
17-06-2020,72.28142548,72.76212897,71.41506882,72.30133456,30610000
18-06-2020,71.36481476,72.30282749,70.97268466,72.14757152,34862000
19-06-2020,70.89307404,71.88134549,70.61241053,71.65741758,52784000
22-06-2020,72.18786621,72.20230068,70.62185935,70.91147506,29442000
23-06-2020,72.85070038,73.40903563,71.90621842,72.25455153,37752000
24-06-2020,71.29415131,73.43839511,71.15979153,72.81587541,31592000
25-06-2020,71.71214294,71.77284971,70.63926945,71.22049025,23958000
26-06-2020,67.80284119,71.50912091,67.4276361,71.29066763,97640000
29-06-2020,69.52610016,69.56740658,67.26092874,67.69336297,45074000
30-06-2020,70.56513214,70.8612172,69.01653605,69.51167404,40286000
01-07-2020,71.75693512,72.07939858,70.37255487,70.62087178,42182000
02-07-2020,73.14678955,74.07187121,72.20827571,72.24659805,57218000
06-07-2020,74.62571716,75.14075662,73.49761142,74.05345616,44712000
07-07-2020,74.1415329,75.70406217,74.13058366,74.45055656,42364000
08-07-2020,74.82227325,75.19897413,74.25995925,74.68294002,31766000
09-07-2020,75.57170105,76.09320987,74.42369372,75.13727742,41836000
10-07-2020,76.58435059,76.7002971,74.67896287,75.30247721,35918000
13-07-2020,75.25173187,78.44297203,74.96958014,77.12825842,42954000
14-07-2020,75.6811676,75.77770617,73.94297977,74.28435,38108000
15-07-2020,75.48311615,76.45098479,74.535149,75.79910267,31026000
16-07-2020,75.3855896,75.43485358,74.05942561,74.71777711,26484000
17-07-2020,75.48162079,75.80905769,74.54858165,75.48460487,34264000
20-07-2020,77.81995392,78.07722309,74.7775003,75.38957193,30166000
21-07-2020,77.42582703,78.97492413,77.26161122,78.87440678,27486000
22-07-2020,77.87020111,77.97619308,76.79434353,77.41537491,24482000
23-07-2020,75.47665405,78.14390247,75.07059065,77.92395336,33910000
24-07-2020,75.05168915,75.41097154,74.02559651,74.60283863,29902000
27-07-2020,76.1076355,76.51220308,75.25670795,75.30298785,27124000
28-07-2020,74.82476807,75.93744461,74.66901097,75.88718594,30910000
29-07-2020,75.81303406,76.30169507,74.79290978,74.89193889,22676000
30-07-2020,76.55250549,76.67790541,74.40277966,74.5421129,36042000
31-07-2020,74.04350281,74.89294207,72.35407768,74.49633966,91468000
03-08-2020,73.78523254,74.53016801,73.23585716,74.19527469,45482000
04-08-2020,73.31449127,74.30027971,72.85319571,73.98180263,37212000
05-08-2020,73.60260773,74.14551383,73.2109788,73.48965289,29134000
06-08-2020,74.88945007,74.95513791,73.24481675,73.45630714,33306000
07-08-2020,74.56203461,75.64286587,73.9599099,75.09299684,27718000
10-08-2020,74.48488617,74.99892327,73.52297816,74.18531593,20546000
11-08-2020,73.67475891,75.16264801,73.55781771,74.34455312,31098000
12-08-2020,75.00341034,75.22386058,73.89670197,74.00220039,22512000
13-08-2020,75.47167206,76.48284419,75.05168293,75.05168293,22388000
14-08-2020,74.87354279,75.6279394,74.59338042,75.32040393,21942000
17-08-2020,75.45127106,75.82648373,74.89194866,75.43783888,19990000
18-08-2020,77.41886139,77.49798141,75.72147884,75.94291618,28378000
19-08-2020,76.86301422,78.06974631,76.63361174,77.25513666,30472000
20-08-2020,78.4375,78.63256656,76.35794168,76.63212827,26382000
21-08-2020,78.40366364,79.21528173,77.74381628,78.2160535,34838000
24-08-2020,78.88037109,80.05625248,78.37727561,79.24462689,25638000
25-08-2020,79.9104538,80.06122983,78.51860203,78.62907393,25150000
26-08-2020,81.81533813,82.24628407,79.66811044,79.93284359,52188000
27-08-2020,81.03855133,82.00741461,80.55535737,81.93874269,31350000
28-08-2020,81.58146667,81.67701056,80.89376024,81.08584272,22418000
31-08-2020,81.08882141,81.83375694,80.87982154,81.78747704,26422000
01-09-2020,82.36023712,82.5662529,81.08881938,81.21969391,22652000
02-09-2020,85.46090698,85.89433584,82.61451509,83.00365345,49522000
03-09-2020,81.08782959,84.5955575,80.00301202,84.57166963,63726000
04-09-2020,78.68431091,81.36051134,76.53259571,80.06719518,55850000
08-09-2020,75.81752014,77.40741496,75.46420596,75.88718676,54032000
09-09-2020,76.99340057,77.56516042,75.89564446,77.07649937,39242000
10-09-2020,75.93943024,78.30860397,75.63837174,77.14019419,33024000
11-09-2020,75.42738342,76.56892127,74.29579253,76.04393489,30706000
14-09-2020,75.08252716,77.47956755,74.89741517,76.21809683,42660000
15-09-2020,76.39077759,77.18050476,75.74288179,76.03100168,23042000
16-09-2020,75.24475861,77.3486982,75.21987604,76.75702925,22128000
17-09-2020,73.99821472,74.57645148,72.77506627,73.93700681,40008000
18-09-2020,72.20927429,74.40428562,71.24041081,74.06092595,63056000
21-09-2020,71.16675568,71.66039018,69.80028766,71.24040108,56908000
22-09-2020,72.64369202,72.85020894,71.13490659,72.17095368,33950000
23-09-2020,70.13419342,72.30830089,69.80029476,72.2590369,37726000
24-09-2020,70.80448151,71.55738213,69.7739091,69.8002875,34552000
25-09-2020,71.61064148,71.95299885,70.04910674,70.91347406,30326000
28-09-2020,72.58596802,73.29905809,71.96991766,73.24930056,30784000
29-09-2020,72.95222473,73.24979803,72.35407886,72.84722745,31816000
30-09-2020,72.93132019,73.95641806,72.44166443,72.69942714,40924000
01-10-2020,74.04101563,74.39781506,73.48865608,73.83002635,32884000
02-10-2020,72.43369293,73.59961979,72.02315723,72.63423408,31222000
05-10-2020,73.78872681,73.88178016,72.65713578,72.7845251,21602000
06-10-2020,72.20578766,73.87281306,71.90671854,73.42396261,26096000
07-10-2020,72.60985565,73.09901784,71.32051822,72.61831436,36108000
08-10-2020,73.818573,74.04747434,72.92384862,72.92384862,26076000
09-10-2020,75.16314697,75.23281359,73.99622537,74.28783048,32966000
12-10-2020,77.85726166,79.04308998,76.10115419,76.5340895,55344000
13-10-2020,77.98068237,78.88088148,77.56069323,78.47531921,39072000
14-10-2020,77.8000412,78.81568567,76.92721521,78.3553924,33174000
15-10-2020,77.40343475,78.19614598,76.68985114,76.85754458,31210000
16-10-2020,78.01203156,78.51014601,77.51242126,77.71992529,34194000
19-10-2020,76.13350677,78.81966948,75.78368542,78.42157125,29734000
20-10-2020,77.1849823,78.31756794,75.66325828,75.79313812,41670000
21-10-2020,78.92218018,80.37274942,77.98416747,78.1190208,60322000
22-10-2020,79.95075989,80.28714907,78.49870246,78.87291283,30512000
23-10-2020,81.26049805,81.31722604,80.21200591,80.36826416,30548000
26-10-2020,78.83757782,81.09129863,78.01600527,80.3657711,35826000
27-10-2020,79.56360626,79.71886221,78.47431648,79.06847592,25902000
28-10-2020,75.18056488,77.32082977,75.06511951,77.131739,45174000
29-10-2020,77.47360992,79.05902494,75.46670232,75.49008905,55406000
30-10-2020,80.42100525,83.6659967,79.69746709,82.97529866,99878000
02-11-2020,80.82956696,82.51749631,80.32795965,80.79075106,44228000
03-11-2020,81.89147949,82.5553056,80.22196347,81.1500292,31432000
04-11-2020,86.87714386,88.08039077,84.74483659,84.87322059,71342000
05-11-2020,87.70567322,89.16470093,86.63727969,88.10128088,39758000
06-11-2020,87.56784058,88.00425353,86.42082053,87.15033442,28622000
09-11-2020,87.65193939,90.41224106,87.45936338,89.37172165,53440000
10-11-2020,86.47257996,87.550427,85.397717,86.07697225,43022000
11-11-2020,86.9458313,87.72559642,86.73831965,87.00404755,31838000
12-11-2020,86.72637177,87.82910147,86.4850253,86.68556648,26474000
13-11-2020,88.19136047,88.43370161,86.38599647,86.98413472,29744000
16-11-2020,88.2794342,89.2901051,87.64745358,87.78728796,25468000
17-11-2020,87.66388702,88.43420627,87.55590565,87.97240956,21314000
18-11-2020,86.61788177,87.83008859,86.51487388,87.41407825,20108000
19-11-2020,87.51011658,87.75494825,86.08941102,86.24914691,20106000
20-11-2020,86.40589905,87.99728973,86.33722712,87.68080205,27694000
23-11-2020,85.96699524,86.88411172,85.10213442,86.59698652,22530000
24-11-2020,87.77535248,87.90373649,85.62712233,85.96401266,27984000
25-11-2020,87.78678894,88.09780199,87.00204288,87.96991913,19600000
27-11-2020,88.92585754,89.42298495,87.80720509,87.80720509,14790000
30-11-2020,87.30260468,88.59343027,86.97616248,88.360049,32418000
01-12-2020,89.34085846,90.65258787,87.73204933,87.91268899,37350000
02-12-2020,90.8143158,91.20097123,88.8337868,89.34086108,29424000
03-12-2020,90.65856934,91.75283266,90.41771645,90.59387619,24728000
04-12-2020,90.75411224,91.0397416,90.24802505,90.5779525,20544000
07-12-2020,90.41921234,91.02929454,89.72303967,90.34555935,22288000
08-12-2020,90.13555908,90.36645741,89.1378344,89.99573229,19936000
09-12-2020,88.47002411,90.98351223,87.68079812,90.08729198,31728000
10-12-2020,87.96196747,88.32721803,86.2640835,87.71066646,28688000
11-12-2020,88.31775665,88.44266302,87.22000809,87.58127983,18628000
14-12-2020,87.19612122,89.06418903,87.04036411,88.11473355,33050000
15-12-2020,87.63502502,87.78032644,86.66914568,87.57431066,21352000
16-12-2020,87.44143677,88.0346015,87.03687684,88.0346015,24676000
17-12-2020,86.61141205,87.91518396,86.14564417,87.77684541,34880000
18-12-2020,85.90031433,87.00204928,85.34198664,86.89307322,85256000
21-12-2020,86.31533051,86.43675165,84.29698019,85.04988088,33974000
22-12-2020,85.60174561,86.21829712,84.88318089,86.05507601,20370000
23-12-2020,86.00033569,86.79055641,85.65050674,85.78636235,22974000
24-12-2020,86.29543304,86.7059688,85.80726551,86.03865742,9312000
28-12-2020,88.2759552,88.92485328,86.67660697,86.83036709,27650000
29-12-2020,87.46981049,88.99800382,87.33794125,88.93630235,19726000
30-12-2020,86.39942932,87.96743327,85.98889359,87.83008942,21026000
31-12-2020,87.21503448,87.45687448,86.3914649,86.45018987,21070000
04-01-2021,85.89584351,87.70518638,84.95086034,87.58128229,37324000
05-01-2021,86.58853149,86.92591538,85.43653784,85.8440895,20360000
06-01-2021,85.73410797,86.78359484,84.40148228,84.60849276,46588000
07-01-2021,88.2948761,88.46804418,85.92719028,85.92719028,41936000
08-01-2021,89.46378326,89.5399192,87.64198775,88.43520017,35484000
11-01-2021,87.39665985,88.79447981,87.19015052,88.428227,34796000
12-01-2021,86.45813751,87.97438679,85.41064775,86.85275048,29528000
13-01-2021,86.94681549,87.40164173,85.95505132,85.95505132,23432000
14-01-2021,86.13419342,87.95698355,85.89284698,87.02742201,29212000
15-01-2021,85.96997833,86.96522013,85.17826938,86.03964495,31444000
19-01-2021,88.79896545,89.76285544,86.22925024,86.73532987,41660000
20-01-2021,93.55620575,94.5340289,90.54261398,90.8839766,64152000
21-01-2021,93.7592392,96.14433582,93.52336737,94.23198513,58634000
22-01-2021,94.177742,94.76642688,93.37856142,94.1230034,32744000
25-01-2021,94.26332855,95.63378301,92.51568724,95.18194086,50586000
26-01-2021,94.94358063,95.33172433,93.36015508,93.85080553,31462000
27-01-2021,90.51425171,93.57611295,89.43640469,93.29943586,82512000
28-01-2021,92.21910858,93.95032604,91.11438958,91.11438958,55278000
29-01-2021,90.9332428,91.93744438,89.64938765,91.26465848,44530000
01-02-2021,94.203125,95.32127621,91.79065524,91.79065524,40252000
02-02-2021,95.4994278,97.00472805,94.86495656,95.20135335,66332000
03-02-2021,102.4541702,104.8298134,100.1984524,102.7890712,97882000
04-02-2021,102.1929321,102.9726972,101.2708345,102.5407641,48596000
05-02-2021,103.9445496,104.2983573,102.0122897,102.4880121,29866000
08-02-2021,103.730072,105.2468226,102.676614,104.5003913,28828000
09-02-2021,103.2757492,104.426247,103.0075308,103.2463867,21892000
10-02-2021,103.8276062,104.4446589,102.1237542,103.661401,25102000
11-02-2021,103.940567,104.201815,102.9507998,104.0525348,20480000
12-02-2021,104.253067,104.475499,103.185167,103.4936971,18990000
16-02-2021,105.0328445,106.746651,104.0898508,104.0898508,31004000
17-02-2021,105.4269638,105.6170569,103.9206689,104.2008236,20294000
18-02-2021,104.7894974,105.5946537,104.168466,104.7491932,22546000
19-02-2021,103.9435501,105.42497,103.6758329,104.8880397,37938000
22-02-2021,102.2242661,103.5215686,101.9127594,102.1914259,29466000
23-02-2021,102.5158768,103.1319347,99.03800498,100.2203558,34658000
24-02-2021,103.6947403,103.9191693,100.8941345,101.0190332,22608000
25-02-2021,100.3178864,103.6544354,99.8471374,102.3073753,41548000
26-02-2021,100.6144638,102.336729,99.57443796,101.0145514,40042000
01-03-2021,102.9906158,103.3175516,101.2369986,101.9127687,26060000
02-03-2021,102.7328415,104.2386429,102.3442042,102.7507536,25564000
03-03-2021,100.0919647,103.3055967,99.22560051,102.1093202,33892000
04-03-2021,101.2126083,103.235932,99.79438576,100.26414,49216000
05-03-2021,104.3545837,104.8089088,100.9065682,102.5671319,53100000
08-03-2021,99.89738464,105.184105,99.78243283,103.7071727,36868000
09-03-2021,101.5325775,102.7049738,101.295711,101.9998488,33920000
10-03-2021,101.3250732,102.5795736,100.4860821,102.5795736,27100000
11-03-2021,104.5272598,105.0612061,102.333251,102.4213309,27702000
12-03-2021,102.0122833,103.3862154,101.137468,103.3265033,33818000
15-03-2021,102.2332306,102.2605961,100.9070742,101.7624816,26168000
16-03-2021,103.6987228,105.1811298,102.4745721,102.8079772,31900000
17-03-2021,103.6156158,104.4506206,101.7196815,102.9313871,26382000
18-03-2021,100.5861053,102.9453247,100.4786175,101.9217151,31700000
19-03-2021,100.8657761,101.3673758,99.66999298,101.0036211,46072000
22-03-2021,101.051384,101.9296846,100.2208515,100.8991121,33536000
23-03-2021,101.5808411,102.7144214,100.9175161,101.5121691,28510000
24-03-2021,101.1429443,102.8880951,100.9672781,102.0998638,25218000
25-03-2021,101.1394577,101.7953186,99.32960619,100.9697673,35616000
26-03-2021,100.7547913,101.4842975,99.71575259,101.1061084,27978000
29-03-2021,101.8027878,101.9729794,99.79538669,100.6269139,26492000
30-03-2021,101.8366318,102.6427752,101.3230881,102.1605835,27312000
31-03-2021,102.6353149,103.8166711,101.8630063,102.2312485,42570000
01-04-2021,105.9822998,106.2793795,104.073928,104.1147332,39880000
05-04-2021,110.4200821,110.9191988,106.7501281,106.8466666,48510000
06-04-2021,109.9373856,110.8699311,109.5656657,110.0199908,35240000
07-04-2021,111.418808,111.6910051,110.1284759,110.1284759,24134000
08-04-2021,111.9860992,113.0490183,111.6168624,112.6613681,28664000
09-04-2021,112.9932785,113.1574943,111.3307255,111.7377835,26146000
12-04-2021,111.6969833,112.3075591,110.8609763,112.1697217,25024000
13-04-2021,112.1851501,112.6350029,111.6188573,112.0139715,25682000
14-04-2021,111.5621262,112.8320557,111.2690328,112.8320557,21002000
15-04-2021,113.718811,114.2537596,112.0229243,112.559361,29174000
16-04-2021,113.5944061,114.1661736,113.0057213,113.9173631,26282000
19-04-2021,113.9432373,114.6563274,112.9688993,112.9688993,30290000
20-04-2021,113.4083023,114.403043,112.3190125,114.3279017,22288000
21-04-2021,113.3754578,113.4575619,111.7069289,113.0619542,23204000
22-04-2021,112.0900955,113.8994458,111.4829975,113.2286493,24146000
23-04-2021,114.4493179,114.7573469,112.5245222,112.8106527,29066000
26-04-2021,114.9469452,115.6734751,114.3194444,114.6777321,32038000
27-04-2021,114.003952,115.3709136,113.7640938,115.3301083,44386000
28-04-2021,117.3907623,120.9905486,117.1011466,119.0557984,81106000
29-04-2021,119.0687332,119.6360207,118.1277289,118.8930746,41234000
